作物编号, 作物名称, 作物类型, 可种植地块-季节编号
18, 刀豆, 蔬菜（豆类）, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
19, 芸豆, 蔬菜（豆类）, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
20, 土豆, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
21, 西红柿, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
22, 茄子, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
23, 菠菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
24, 青椒, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
25, 菜花, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
26, 包菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
27, 油麦菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
28, 小青菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
29, 黄瓜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
30, 生菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
31, 辣椒, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
32, 空心菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
33, 黄心菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
34, 芹菜, 蔬菜, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
35, 大白菜, 蔬菜, D1-2; D2-2; D3-2; D4-2; D5-2; D6-2; D7-2; D8-2
36, 白萝卜, 蔬菜, D1-2; D2-2; D3-2; D4-2; D5-2; D6-2; D7-2; D8-2
37, 红萝卜, 蔬菜, D1-2; D2-2; D3-2; D4-2; D5-2; D6-2; D7-2; D8-2
38, 榆黄菇, 食用菌, E1-2; E2-2; E3-2; E4-2; E5-2; E6-2; E7-2; E8-2; E9-2; E10-2; E11-2; E12-2; E13-2; E14-2; E15-2; E16-2
39, 香菇, 食用菌, E1-2; E2-2; E3-2; E4-2; E5-2; E6-2; E7-2; E8-2; E9-2; E10-2; E11-2; E12-2; E13-2; E14-2; E15-2; E16-2
40, 白灵菇, 食用菌, E1-2; E2-2; E3-2; E4-2; E5-2; E6-2; E7-2; E8-2; E9-2; E10-2; E11-2; E12-2; E13-2; E14-2; E15-2; E16-2
41, 羊肚菌, 食用菌, E1-2; E2-2; E3-2; E4-2; E5-2; E6-2; E7-2; E8-2; E9-2; E10-2; E11-2; E12-2; E13-2; E14-2; E15-2; E16-2
