地块编号, 名称, 面积/亩, 可种植作物编号
C6, 山坡地·单季（全年一季）, 20.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
D1-1, 水浇地·第一季（3-6月）, 15.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D1-2, 水浇地·第二季（7-10月）, 15.0, 35; 36; 37
D2-1, 水浇地·第一季（3-6月）, 10.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D2-2, 水浇地·第二季（7-10月）, 10.0, 35; 36; 37
D3-1, 水浇地·第一季（3-6月）, 14.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D3-2, 水浇地·第二季（7-10月）, 14.0, 35; 36; 37
D4-1, 水浇地·第一季（3-6月）, 6.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D4-2, 水浇地·第二季（7-10月）, 6.0, 35; 36; 37
D5-1, 水浇地·第一季（3-6月）, 10.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D5-2, 水浇地·第二季（7-10月）, 10.0, 35; 36; 37
D6-1, 水浇地·第一季（3-6月）, 12.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D6-2, 水浇地·第二季（7-10月）, 12.0, 35; 36; 37
D7-1, 水浇地·第一季（3-6月）, 22.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D7-2, 水浇地·第二季（7-10月）, 22.0, 35; 36; 37
D8-1, 水浇地·第一季（3-6月）, 20.0, 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
D8-2, 水浇地·第二季（7-10月）, 20.0, 35; 36; 37
E1-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E1-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E2-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E2-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E3-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E3-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E4-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E4-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E5-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E5-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E6-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E6-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E7-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E7-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E8-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E8-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E9-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E9-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E10-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E10-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E11-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E11-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E12-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E12-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E13-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E13-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E14-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E14-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E15-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E15-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
E16-1, 普通大棚·第一季（5-9月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
E16-2, 普通大棚·第二季（9月-次年4月）, 0.6, 38; 39; 40; 41
F1-1, 智慧大棚·第一季（3-7月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F1-2, 智慧大棚·第二季（8月-次年2月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F2-1, 智慧大棚·第一季（3-7月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F2-2, 智慧大棚·第二季（8月-次年2月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F3-1, 智慧大棚·第一季（3-7月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F3-2, 智慧大棚·第二季（8月-次年2月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F4-1, 智慧大棚·第一季（3-7月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
F4-2, 智慧大棚·第二季（8月-次年2月）, 0.6, 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34
