类型-季节编号, 地块类型, 种植季次, 作物编号, 作物名称, 亩产量/斤, 种植成本/(元/亩), 售价区间/(元/斤), 售价中值/(元/斤)
B            , 梯田    , 单季    ,        5, 爬豆    ,       395,              350, 6.00-7.50       ,             6.75
B            , 梯田    , 单季    ,        6, 小麦    ,       760,              450, 3.00-4.00       ,              3.5
B            , 梯田    , 单季    ,        7, 玉米    ,       950,              500, 2.50-3.50       ,              3.0
B            , 梯田    , 单季    ,        8, 谷子    ,       380,              360, 6.00-7.50       ,             6.75
B            , 梯田    , 单季    ,        9, 高粱    ,       600,              400, 5.50-6.50       ,              6.0
B            , 梯田    , 单季    ,       10, 黍子    ,       500,              360, 6.50-8.50       ,              7.5
B            , 梯田    , 单季    ,       11, 荞麦    ,       105,              350, 30.00-50.00     ,             40.0
B            , 梯田    , 单季    ,       12, 南瓜    ,      2850,             1000, 1.00-2.00       ,              1.5
B            , 梯田    , 单季    ,       13, 红薯    ,      2100,             2000, 2.50-4.00       ,             3.25
B            , 梯田    , 单季    ,       14, 莜麦    ,       400,              400, 5.00-6.00       ,              5.5
B            , 梯田    , 单季    ,       15, 大麦    ,       500,              350, 3.00-4.00       ,              3.5
C            , 山坡地  , 单季    ,        1, 黄豆    ,       360,              400, 2.50-4.00       ,             3.25
C            , 山坡地  , 单季    ,        2, 黑豆    ,       450,              400, 6.50-8.50       ,              7.5
C            , 山坡地  , 单季    ,        3, 红豆    ,       360,              350, 7.50-9.00       ,             8.25
C            , 山坡地  , 单季    ,        4, 绿豆    ,       315,              350, 6.00-8.00       ,              7.0
C            , 山坡地  , 单季    ,        5, 爬豆    ,       375,              350, 6.00-7.50       ,             6.75
C            , 山坡地  , 单季    ,        6, 小麦    ,       720,              450, 3.00-4.00       ,              3.5
C            , 山坡地  , 单季    ,        7, 玉米    ,       900,              500, 2.50-3.50       ,              3.0
C            , 山坡地  , 单季    ,        8, 谷子    ,       360,              360, 6.00-7.50       ,             6.75
C            , 山坡地  , 单季    ,        9, 高粱    ,       570,              400, 5.50-6.50       ,              6.0
C            , 山坡地  , 单季    ,       10, 黍子    ,       475,              360, 6.50-8.50       ,              7.5
C            , 山坡地  , 单季    ,       11, 荞麦    ,       100,              350, 30.00-50.00     ,             40.0
C            , 山坡地  , 单季    ,       12, 南瓜    ,      2700,             1000, 1.00-2.00       ,              1.5
C            , 山坡地  , 单季    ,       13, 红薯    ,      2000,             2000, 2.50-4.00       ,             3.25
C            , 山坡地  , 单季    ,       14, 莜麦    ,       380,              400, 5.00-6.00       ,              5.5
C            , 山坡地  , 单季    ,       15, 大麦    ,       475,              350, 3.00-4.00       ,              3.5
D            , 水浇地  , 单季    ,       16, 水稻    ,       500,              680, 6.00-8.00       ,              7.0
D-1          , 水浇地  , 第一季  ,       17, 豇豆    ,      3000,             2000, 7.00-9.00       ,              8.0
D-1          , 水浇地  , 第一季  ,       18, 刀豆    ,      2000,             1000, 5.50-8.00       ,             6.75
D-1          , 水浇地  , 第一季  ,       19, 芸豆    ,      3000,             2000, 5.00-8.00       ,              6.5
D-1          , 水浇地  , 第一季  ,       20, 土豆    ,      2000,             2000, 3.00-4.50       ,             3.75
D-1          , 水浇地  , 第一季  ,       21, 西红柿  ,      2400,             2000, 5.00-7.50       ,             6.25
D-1          , 水浇地  , 第一季  ,       22, 茄子    ,      6400,             2000, 5.00-6.00       ,              5.5
D-1          , 水浇地  , 第一季  ,       23, 菠菜    ,      2700,             2300, 4.80-6.70       ,             5.75
D-1          , 水浇地  , 第一季  ,       24, 青椒    ,      2400,             1600, 4.00-6.50       ,             5.25
D-1          , 水浇地  , 第一季  ,       25, 菜花    ,      3300,             2400, 5.00-6.00       ,              5.5
D-1          , 水浇地  , 第一季  ,       26, 包菜    ,      3700,             2900, 5.50-7.50       ,              6.5
D-1          , 水浇地  , 第一季  ,       27, 油麦菜  ,      4100,             1600, 4.00-6.00       ,              5.0
D-1          , 水浇地  , 第一季  ,       28, 小青菜  ,      3200,             1600, 5.00-6.50       ,             5.75
D-1          , 水浇地  , 第一季  ,       29, 黄瓜    ,     12000,             2900, 6.00-8.00       ,              7.0
D-1          , 水浇地  , 第一季  ,       30, 生菜    ,      4100,             1600, 4.50-6.00       ,             5.25
D-1          , 水浇地  , 第一季  ,       31, 辣椒    ,      1600,             1000, 6.00-8.50       ,             7.25
D-1          , 水浇地  , 第一季  ,       32, 空心菜  ,     10000,             4100, 3.00-6.00       ,              4.5
D-1          , 水浇地  , 第一季  ,       33, 黄心菜  ,      5000,             2000, 4.00-5.00       ,              4.5
D-1          , 水浇地  , 第一季  ,       34, 芹菜    ,      5500,              900, 3.20-4.80       ,              4.0
D-2          , 水浇地  , 第二季  ,       35, 大白菜  ,      5000,             2000, 2.00-3.00       ,              2.5
D-2          , 水浇地  , 第二季  ,       36, 白萝卜  ,      4000,              500, 2.00-3.00       ,              2.5
D-2          , 水浇地  , 第二季  ,       37, 红萝卜  ,      3000,              500, 2.50-4.00       ,             3.25
E-1          , 普通大棚, 第一季  ,       17, 豇豆    ,      3600,             2400, 7.00-9.00       ,              8.0
E-1          , 普通大棚, 第一季  ,       18, 刀豆    ,      2400,             1200, 5.50-8.00       ,             6.75
E-1          , 普通大棚, 第一季  ,       19, 芸豆    ,      3600,             2400, 5.00-8.00       ,              6.5
E-1          , 普通大棚, 第一季  ,       20, 土豆    ,      2400,             2400, 3.00-4.50       ,             3.75
E-1          , 普通大棚, 第一季  ,       21, 西红柿  ,      3000,             2400, 5.00-7.50       ,             6.25
E-1          , 普通大棚, 第一季  ,       22, 茄子    ,      8000,             2400, 5.00-6.00       ,              5.5
E-1          , 普通大棚, 第一季  ,       23, 菠菜    ,      3300,             2700, 4.80-6.70       ,             5.75
E-1          , 普通大棚, 第一季  ,       24, 青椒    ,      3000,             2000, 4.00-6.50       ,             5.25
E-1          , 普通大棚, 第一季  ,       25, 菜花    ,      4000,             3000, 5.00-6.00       ,              5.5
E-1          , 普通大棚, 第一季  ,       26, 包菜    ,      4500,             3500, 5.50-7.50       ,              6.5
E-1          , 普通大棚, 第一季  ,       27, 油麦菜  ,      5000,             2000, 4.00-6.00       ,              5.0
E-1          , 普通大棚, 第一季  ,       28, 小青菜  ,      4000,             2000, 5.00-6.50       ,             5.75
E-1          , 普通大棚, 第一季  ,       29, 黄瓜    ,     15000,             3500, 6.00-8.00       ,              7.0
E-1          , 普通大棚, 第一季  ,       30, 生菜    ,      5000,             2000, 4.50-6.00       ,             5.25
E-1          , 普通大棚, 第一季  ,       31, 辣椒    ,      2000,             1200, 6.00-8.50       ,             7.25
E-1          , 普通大棚, 第一季  ,       32, 空心菜  ,     12000,             5000, 3.00-6.00       ,              4.5
E-1          , 普通大棚, 第一季  ,       33, 黄心菜  ,      6000,             2500, 4.00-5.00       ,              4.5
E-1          , 普通大棚, 第一季  ,       34, 芹菜    ,      6600,             1100, 3.20-4.80       ,              4.0
E-2          , 普通大棚, 第二季  ,       38, 榆黄菇  ,      5000,             3000, 50.00-65.00     ,             57.5
E-2          , 普通大棚, 第二季  ,       39, 香菇    ,      4000,             2000, 18.00-20.00     ,             19.0
E-2          , 普通大棚, 第二季  ,       40, 白灵菇  ,     10000,            10000, 14.00-18.00     ,             16.0
E-2          , 普通大棚, 第二季  ,       41, 羊肚菌  ,      1000,            10000, 80.00-120.00    ,            100.0
F-1          , 智慧大棚, 第一季  ,       17, 豇豆    ,      3600,             2400, 7.00-9.00       ,              8.0
F-1          , 智慧大棚, 第一季  ,       18, 刀豆    ,      2400,             1200, 5.50-8.00       ,             6.75
F-1          , 智慧大棚, 第一季  ,       19, 芸豆    ,      3600,             2400, 5.00-8.00       ,              6.5
F-1          , 智慧大棚, 第一季  ,       20, 土豆    ,      2400,             2400, 3.00-4.50       ,             3.75
F-1          , 智慧大棚, 第一季  ,       21, 西红柿  ,      3000,             2400, 5.00-7.50       ,             6.25
F-1          , 智慧大棚, 第一季  ,       22, 茄子    ,      8000,             2400, 5.00-6.00       ,              5.5
F-1          , 智慧大棚, 第一季  ,       23, 菠菜    ,      3300,             2700, 4.80-6.70       ,             5.75
F-1          , 智慧大棚, 第一季  ,       24, 青椒    ,      3000,             2000, 4.00-6.50       ,             5.25
F-1          , 智慧大棚, 第一季  ,       25, 菜花    ,      4000,             3000, 5.00-6.00       ,              5.5
F-1          , 智慧大棚, 第一季  ,       26, 包菜    ,      4500,             3500, 5.50-7.50       ,              6.5
F-1          , 智慧大棚, 第一季  ,       27, 油麦菜  ,      5000,             2000, 4.00-6.00       ,              5.0
F-1          , 智慧大棚, 第一季  ,       28, 小青菜  ,      4000,             2000, 5.00-6.50       ,             5.75
F-1          , 智慧大棚, 第一季  ,       29, 黄瓜    ,     15000,             3500, 6.00-8.00       ,              7.0
F-1          , 智慧大棚, 第一季  ,       30, 生菜    ,      5000,             2000, 4.50-6.00       ,             5.25
F-1          , 智慧大棚, 第一季  ,       31, 辣椒    ,      2000,             1200, 6.00-8.50       ,             7.25
F-1          , 智慧大棚, 第一季  ,       32, 空心菜  ,     12000,             5000, 3.00-6.00       ,              4.5
F-1          , 智慧大棚, 第一季  ,       33, 黄心菜  ,      6000,             2500, 4.00-5.00       ,              4.5
F-1          , 智慧大棚, 第一季  ,       34, 芹菜    ,      6600,             1100, 3.20-4.80       ,              4.0
F-2          , 智慧大棚, 第二季  ,       17, 豇豆    ,      3200,             2640, 8.40-10.80      ,              9.6
F-2          , 智慧大棚, 第二季  ,       18, 刀豆    ,      2200,             1320, 6.60-9.60       ,              8.1
F-2          , 智慧大棚, 第二季  ,       19, 芸豆    ,      3200,             2640, 6.00-9.60       ,              7.8
F-2          , 智慧大棚, 第二季  ,       20, 土豆    ,      2200,             2640, 3.60-5.40       ,              4.5
F-2          , 智慧大棚, 第二季  ,       21, 西红柿  ,      2700,             2640, 6.00-9.00       ,              7.5
F-2          , 智慧大棚, 第二季  ,       22, 茄子    ,      7200,             2640, 6.00-7.20       ,              6.6
F-2          , 智慧大棚, 第二季  ,       23, 菠菜    ,      3000,             3000, 5.80-8.00       ,              6.9
F-2          , 智慧大棚, 第二季  ,       24, 青椒    ,      2700,             2200, 5.80-7.80       ,              6.8
F-2          , 智慧大棚, 第二季  ,       25, 菜花    ,      3600,             3300, 6.00-7.20       ,              6.6
F-2          , 智慧大棚, 第二季  ,       26, 包菜    ,      4100,             3850, 6.60-9.00       ,              7.8
F-2          , 智慧大棚, 第二季  ,       27, 油麦菜  ,      4500,             2200, 4.80-7.20       ,              6.0
F-2          , 智慧大棚, 第二季  ,       28, 小青菜  ,      3600,             2200, 6.00-7.80       ,              6.9
F-2          , 智慧大棚, 第二季  ,       29, 黄瓜    ,     13500,             3850, 7.20-9.60       ,              8.4
F-2          , 智慧大棚, 第二季  ,       30, 生菜    ,      4500,             2200, 5.40-7.20       ,              6.3
F-2          , 智慧大棚, 第二季  ,       31, 辣椒    ,      1800,             1300, 7.20-10.20      ,              8.7
F-2          , 智慧大棚, 第二季  ,       32, 空心菜  ,     11000,             5500, 3.60-7.20       ,              5.4
F-2          , 智慧大棚, 第二季  ,       33, 黄心菜  ,      5400,             2750, 4.80-6.00       ,              5.4
F-2          , 智慧大棚, 第二季  ,       34, 芹菜    ,      6000,             1200, 3.80-5.80       ,              4.8
